"FDID","Fire dept name","HQ addr1","HQ addr2","HQ city","HQ state","HQ zip","Mail addr1","Mail addr2","Mail PO box","Mail city","Mail state","Mail zip","HQ phone","HQ fax","County","Dept Type","Organization Type","Website","Number Of Stations","Active Firefighters - Career","Active Firefighters - Volunteer","Active Firefighters - Paid per Call","Non-Firefighting - Civilian","Non-Firefighting - Volunteer","Primary agency for emergency mgmt"
"54802","Anton Volunteer Fire Department","180 Hicklin RD",,"Madisonville","KY","42431","180 Hicklin RD",,"","Madisonville","KY","42431","270-825-3604",,"HOPKINS                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","16","0","0","6",
"61334","Artemus Volunteer Fire Department","Church ST",,"Artemus","KY","40903",,,"PO Box 157","Artemus","KY","40903-0157","606-546-8113",,"KNOX                     ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","20","0","0","8",
"10040","Ashland Fire Department","1021 Carter AVE",,"Ashland","KY","41101","1021 Carter AVE",,"","Ashland","KY","41101-7421","606-327-2035","606-324-3247","BOYD                     ","Career","Local (includes career, combination, and volunteer)","https://www.ashlandkyfire.org","3","55","0","0","1","0","false"
"71377","Auburn Rural Fire Fighter, Inc.","106 Spring ST",,"Auburn","KY","42206",,,"PO Box 283","Auburn","KY","42206-0283","270-542-4251","270-542-6202","LOGAN                    ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","20","0","0","7",
"12052","Augusta Fire Department","215 MAIN ST",,"Augusta","KY","41002","215 MAIN ST",,"","Augusta","KY","41002","606-756-3036","606-756-2160","BRACKEN                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","16","0","0","0",
"05720","Austin Tracy Volunteer Fire Department","2452 Austin Tracy RD",,"Austin","KY","42123",,,"PO Box 60","Austin","KY","42123-0060","270-646-3001","270-646-3001","BARREN                   ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","20","0","0","0","true"
"36162","Auxier Volunteer Fire Department, Inc.","218 Railroad ST",,"Auxier","KY","41602",,,"PO Box 46","Auxier","KY","41602-0042","606-889-0773",,"FLOYD                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","24","0","0","0","true"
"A5545","Bagdad Fire Protection District","4741 Bagdad RD",,"Bagdad","KY","40003",,,"PO Box 98","Bagdad","KY","40003-0098","502-747-0078","502-747-0078","SHELBY                   ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","31","0","0","0","true"
"61664","Bailey Switch Volunteer Fire Department","37 KY 229",,"Barbourville","KY","40906","37 KY 229",,"","Barbourville","KY","40906","606-546-5500",,"KNOX                     ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","20","0","0","0",
"63346","Baldrock Fire Department","1001 London Dock RD",,"London","KY","40744-7848","1001 London Dock RD",,"","London","KY","40744-7848","606-864-2727",,"LAUREL                   ","Volunteer","Local (includes career, combination, and volunteer)","https://www.baldrockfire.com/","1","0","18","0","0","2","true"
"93481","Ballardsville Fire District","4604 S Highway 53 HWY",,"Crestwood","KY","40014-8790","4604 S Highway 53",,"","Crestwood","KY","40014-8790","502-222-1593","502-222-9911","OLDHAM                   ","Mostly volunteer","Local (includes career, combination, and volunteer)","https://www.ballardsvillefire.com/","2","1","30","12","0","15","false"
"04008","Bandana Fire Department","8 Allen ST",,"Bandana","KY","42022",,,"PO Box 173","Bandana","KY","42022-0173","270-224-2045",,"BALLARD                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","16","0","0","3",
"61330","Barbourville Fire Department","196 Boone DR","PO Box 192","Barbourville","KY","40906",,,"PO Box 192","Barbourville","KY","40906-0192","606-546-6197","606-546-4543","KNOX                     ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"2","1","32","0","0","0","false"
"90469","Bardstown-Nelson County Volunteer Fire Department, Inc.","230 N 5TH ST",,"Bardstown","KY","40004","230 N 5TH ST",,"","Bardstown","KY","40004-1404","502-349-6562","502-349-6597","NELSON                   ","Volunteer","Local (includes career, combination, and volunteer)","https://www.bardstownfire.com/","3","0","0","40","0","7","false"
"20095","Bardwell Fire Department","100 Masonic DR",,"Bardwell","KY","42023",,,"PO Box 639","Bardwell","KY","42023","270-628-5472","270-628-5486","CARLISLE                 ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","27","0","0","0",
"04009","Barlow City Volunteer Fire Department","PO Box 189",,"Barlow","KY","42024-0189",,,"PO Box 189","Barlow","KY","42024-0189","270-334-3641",,"BALLARD                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","16","0","0","0","true"
"04830","Barlow Rural Fire Department","PO Box 273",,"Barlow","KY","42024-9537","PO Box 273",,"","Barlow","KY","42024-9537","270-334-3500",,"BALLARD                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","20","0","0","5",
"B3587","Barren River Volunteer Fire Department","529 Brookwood DR",,"Bowling Green","KY","42102-1182",,,"PO Box 1182","Bowling Green","KY","42102-1182","270-846-3666","270-846-3666","WARREN                   ","Volunteer","Local (includes career, combination, and volunteer)","https://www.barrenriverfire.com/","2","0","40","0","0","0",
"51245","Baskett Fire Department","7491 DR Hedge RD",,"Baskett","KY","42402",,,"PO Box 77","Baskett","KY","42402-0077","270-827-3924",,"HENDERSON                ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","18","0","0","0",
"82627","Battletown Fire Department","8700 Battletown  RD","PO Box 42","Battletown","KY","40104","8700 Battletown  RD",,"PO Box 42","Battletown","KY","40104","270-497-4600","270-497-4609","MEADE                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","19","0","0","0",
"31662","Bear Creek Volunteer Fire Department","6265 Morgantown RD","1490 J.O. Davis RD","Brownsville","KY","42210","6265 Morgantown RD","1490 J.O. Davis RD","","Brownsville","KY","42210","270-286-8945",,"EDMONSON                 ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","16","0","0","0",
"65833","Bear Track Volunteer Fire Department","HWY 399","PO Box 773","Beattyville","KY","41311-0773",,,"PO Box 773","Beattyville","KY","41311-0773","606-464-5030","606-464-2252","LEE                      ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","17","0","0","0",
"65350","Beattyville Volunteer Fire Department","1275 Grand AVE","PO Box 98","Beattyville","KY","41311-0098",,,"PO Box 98","Beattyville","KY","41311","606-464-5030","606-464-5035","LEE                      ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","15","0","0","0",
"B1570","Bedford Volunteer Fire & Rescue","23 Church ST",,"Bedford","KY","40006",,,"PO Box 271","Bedford","KY","40006-0271","502-255-7529","502-255-4405","TRIMBLE                  ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","16","0","0","0","true"
"89467","Beechmont Volunteer Fire Department","3670 Merle Travis HWY","PO Box 165","Beechmont","KY","42323",,,"PO Box 165","Beechmont","KY","42323-0165","270-476-2435","270-476-2435","MUHLENBERG               ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","30","0","0","0","false"
"98502","Belfry Volunteer Fire Department, LTD","25370 US HWY 119 N",,"Belfry","KY","41514",,,"PO Box 281","Belfry","KY","41514","606-353-8026","606-353-1767","PIKE                     ","Volunteer","Local (includes career, combination, and volunteer)","https://departments.firehouse.com/dept/BelfryKY","1","0","29","0","0","10",
"08026","Belleview-McVille Fire Protection District","6900 McVille Road","","Burlington","KY","41005","6900 McVille Road","","","Burlington","KY","41005","859-586-6060","859-586-4688","BOONE                    ","Volunteer","Local (includes career, combination, and volunteer)","","1","0","15","0","0","0",
"48228","Benham Volunteer Fire Department","MAIN ST",,"Benham","KY","40807","MAIN ST",,"PO Box E","Benham","KY","40807","606-848-5506","606-848-5506","HARLAN                   ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","13","0","0","0",
"79398","Benton Fire Department","602 W Eighth ST","PO Box 557","Benton","KY","42028","602 W Eighth ST",,"PO Box 557","Benton","KY","42028","270-527-3957","270-527-2957","MARSHALL                 ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","20","0","0","0",
"76383","Berea Fire Department","212 Chestnut ST",,"Berea","KY","40403","212 Chestnut ST",,"","Berea","KY","40403-1538","859-986-2898","859-985-1097","MADISON                  ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"3","19","26","0","0","9",
"49236","Berry Fire Department","103 S 2ND ST",,"Berry","KY","41003",,,"PO Box 215","Berry","KY","41003-0215","859-234-9619","859-234-9619","HARRISON                 ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","32","0","0","0","true"
"06954","Bethel Volunteer Fire Department","8992 N Highway 11",,"Sharpsburg","KY","40374","8992 N Highway 11",,"","Sharpsburg","KY","40374","606-247-2282",,"BATH                     ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","30","0","0","0","false"
"26660","Big Creek Fire & Rescue","17646 S Highway 421",,"Big Creek","KY","40914-8713","17646 S Highway 421",,"","Big Creek","KY","40914-8713","606-598-5177","606-598-5177","CLAY                     ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","30","0","0","20","true"
"98509","Big Creek Volunteer Fire Department","17397 E Big Creek RD",,"Sidney","KY","41564",,,"PO Box 190","Canada","KY","41519-0110","606-353-9409","606-353-9409","PIKE                     ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","23","0","0","0","true"
"10621","Big Sandy Fire Department","29019 Mayo Trail RD",,"Catlettsburg","KY","41129-8749","29019 Mayo Trail RD",,"","Catlettsburg","KY","41129-8749","606-739-6424","606-739-5924","BOYD                     ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","25","0","0","5","false"
"56278","Black Mudd Fire Protection District","1714 RANGELAND RD",,"Louisville","KY","40219-5456","1714 RANGELAND RD",,"","Louisville","KY","40219-5456","502-969-0521","502-968-9350","JEFFERSON                ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","10","17","2","0","0",
"98804","Blackberry Volunteer Fire Department","29 Blue Springs RD","PO Box 665","Mc Carr","KY","41544",,,"PO Box 665","Mc Carr","KY","41544-0665","606-427-7325",,"PIKE                     ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","21","0","0","5","true"
"64348","Blaine Volunteer Fire Department","999 Highway 469",,"Martha","KY","41159",,,"PO Box 5","Blaine","KY","41124-0005","555-555-5555",,"LAWRENCE                 ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","15","0","0","0","false"
"04780","Blandville Rural Volunteer Fire Department","5422 Bethlehem Church RD",,"Wickliffe","KY","42087",,,"PO Box 114","Wickliffe","KY","42087-0114","270-876-7878",,"BALLARD                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","13","0","0","5","true"
"48723","Bledsoe Volunteer Fire Department","6418 N Highway 421",,"Bledsoe","KY","40810",,,"PO Box 145","Bledsoe","KY","40810-0145","606-558-3211",,"HARLAN                   ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","20","0","0","0","false"
"AF003","Blue Grass Army Depot","431 Battlefield Memorial HWY BLDG 52770",,"Richmond","KY","40475-8341","431 Battlefield Memorial HWY BLDG 52770",,"","Richmond","KY","40475-8341","859-779-6534","859-779-6291","MADISON                  ","Career","Federal government (Department of Defense)",,"1","19","0","0","0","0","true"
"95491","Booneville-Owsley County Volunteer Fire Department","Mulberry ST",,"Booneville","KY","41314","RT 1 Box 33",,"","Booneville","KY","41314","606-593-5205",,"OWSLEY                   ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","22","0","0","0",
"90746","Boston Volunteer Fire Department & Rescue","12597 Boston RD","PO Box 4","Boston","KY","40107-0004","12597 Boston RD",,"PO Box 4","Boston","KY","40107-0004","270-883-4623",,"NELSON                   ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","17","0","0","0",
"09036","Bourbon County Fire Department","345 E Main ST",,"Paris","KY","40361-2116","345 E Main ST",,"","Paris","KY","40361-2116","859-987-2141","859-987-2141","BOURBON                  ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","10","10","0","0","0","false"
"B3580","Bowling Green Fire Department","701 E 7th AVE",,"Bowling Green","KY","42101","701 E 7th AVE",,"","Bowling Green","KY","42101","270-393-3702","270-393-3687","WARREN                   ","Career","Local (includes career, combination, and volunteer)","https://www.bgky.org","5","111","0","0","4","0",
"11048","Boyle County Fire Protection District","1500 Lebanon RD",,"Danville","KY","40422-9601","1500 Lebanon RD",,"","Danville","KY","40422-9601","859-236-8238","859-236-9839","BOYLE                    ","Mostly volunteer","Local (includes career, combination, and volunteer)","https://boylecountyfire.com/","7","3","0","110","0","0","false"
"01921","Breeding Area Volunteer Fire Department","1022 INDEPENDANCE RD",,"Breeding","KY","42715","1022 INDEPENDANCE RD",,"PO Box 5","Breeding","KY","42715","270-378-5700",,"ADAIR                    ","Volunteer","Local (includes career, combination, and volunteer)","https://www.breedingvfd.com/","1","0","23","0","0","0",
"89463","Bremen Community Volunteer Fire Department","51 College ST",,"Bremen","KY","42325",,,"PO Box 201","Bremen","KY","42325-0201","270-525-6002","270-525-0533","MUHLENBERG               ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","25","0","0","0","false"
"79405","Briensburg Fire Protection District","3287 US Highway 95",,"Benton","KY","42025",,,"PO Box 602","Benton","KY","42025-0602","270-527-2113","270-527-2113","MARSHALL                 ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","31","0","3","0","false"
"26773","Bright Shade Fire Department","141 Mill Creek RD",,"Manchester","KY","40962",,,"PO Box 297","Goose Rock","KY","40944","606-599-9773","606-599-8253","CLAY                     ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","22","0","0","0",
"A1904","Brindle Ridge Volunteer Fire Department","US 25 N US HWY 25 North HWY","PO Box 140","Conway","KY","40456","US 25 N US HWY 25 North HWY",,"PO Box 140","Conway","KY","40456","606-256-0000","606-256-0000","ROCKCASTLE               ","Volunteer","Local (includes career, combination, and volunteer)","https://n/a","1","0","23","0","0","10",
"A1533","Brodhead Volunteer Fire Department","13 W Main ST",,"Brodhead","KY","40409","13 W Main ST",,"PO Box 46","Brodhead","KY","40409","606-758-8813","606-758-8635","ROCKCASTLE               ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","25","0","0","0",
"59312","Bromley Volunteer Fire Department","226 Boone ST",,"Bromley","KY","41016",,,"PO Box 16205","Bromley","KY","41016-0205","859-261-2492","859-261-2977","KENTON                   ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","22","0","0","2","true"
"00527","Bronston-Quinton Volunteer Fire Department","3559 HWY 790",,"Bronston","KY","42518","3559 HWY 790",,"","Bronston","KY","42518","606-561-4634","606-561-4495","PULASKI                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","18","0","0","9",
"12053","Brooksville Volunteer Fire Department. Inc.,","103 Frankfort ST","PO Box 91","Brooksville","KY","41004","103 Frankfort ST",,"PO Box 91","Brooksville","KY","41004","606-735-2421",,"BRACKEN                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","22","0","0","0",
"B3585","Browning Volunteer Fire Department","3866 Browning RD","PO Box 137","Rockfield","KY","42274","3866 Browning RD",,"PO Box 137","Rockfield","KY","42274","270-842-1548",,"WARREN                   ","Volunteer","Local (includes career, combination, and volunteer)","https://www.browningfire.org/","2","0","19","0","0","0",
"31148","Brownsville Volunteer Fire Department","121 Washington ST","PO Box 238","Brownsville","KY","42210",,,"PO Box 238","Brownsville","KY","42210-0238","270-597-3814","270-597-3274","EDMONSON                 ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","21","0","0","0","false"
"23893","Brush Creek Volunteer Fire Department","22 Chelf Ridge RD",,"Liberty","KY","42539",,,"PO Box 808","Liberty","KY","42539-0808","606-787-2462","606-787-2462","CASEY                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","19","0","0","6","true"
"40824","Buckeye Volunteer Fire Department","192 King LN",,"Lancaster","KY","40444-9350","192 King LN",,"","Lancaster","KY","40444-9350","859-304-3256",,"GARRARD                  ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","22","0","0","0",
"97774","Buckhorn Volunteer Fire Department, Inc.","231 Buckhorn LN","PO Box 95","Buckhorn","KY","41721-0095",,,"PO Box 95","Buckhorn","KY","41721-0095","606-398-7800","606-398-7912","PERRY                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","12","0","0","0",
"56279","Buechel Fire Protection District","4101 Bardstown RD",,"Louisville","KY","40218-3229","4101 Bardstown RD",,"","Louisville","KY","40218-3229","502-491-0085","502-495-1503","JEFFERSON                ","Mostly career","Local (includes career, combination, and volunteer)","https://www.buechelfire.com/","1","14","8","0","2","8","true"
"62335","Buffalo Fire Deptment","2619 Greensburg RD",,"Buffalo","KY","42716",,,"PO Box 127","Buffalo","KY","42716-0127","270-325-3836","270-325-4138","LARUE                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","29","0","0","7","false"
"84445","Burgin Fire Department","116 Main ST",,"Burgin","KY","40310",,,"PO Box 94","Burgin","KY","40310","859-748-0216","859-748-9213","MERCER                   ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"2","40","40","40","0","0",
"29133","Burkesville Fire Department","200 Upper River ST",,"Burkesville","KY","42717",,,"PO Box 250","Burkesville","KY","42717-0250","270-864-3494","270-864-1795","CUMBERLAND               ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","1","22","0","0","0","false"
"08027","Burlington Fire Protection District","6050 Firehouse DR",,"Burlington","KY","41005",,,"PO Box 479","Burlington","KY","41005-0479","859-586-6161","859-586-6178","BOONE                    ","Mostly volunteer","Local (includes career, combination, and volunteer)","https://www.burlingtonkyfire.org/","1","24","50","0","1","3","false"
"70837","Burna Community Fire Department","1437 US 60 E",,"Burna","KY","42028-0089",,,"PO Box 89","Burna","KY","42028-0089","270-988-2277","270-988-4496","LIVINGSTON               ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","30","0","1","0","false"
"26127","Burning Springs Fire Department","9081 NORTH HWY",,"Manchester","KY","40962","9081 NORTH HWY",,"","Manchester","KY","40962","606-598-0562","606-598-0562","CLAY                     ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","30","0","0","10",
"63344","Bush Fire Department, Inc.","8642 E Laurel RD",,"London","KY","40741-8619","8642 E Laurel RD",,"","London","KY","40741-8619","606-864-6663","606-862-7003","LAUREL                   ","Volunteer","Local (includes career, combination, and volunteer)","https://bushfiredepartment.com/","3","0","42","0","0","4","false"
"96492","Butler & Community Volunteer Fire Department","309 Taylor ST",,"Butler","KY","41006",,,"PO Box 75","Butler","KY","41006-0075","859-472-2703",,"PENDLETON                ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","20","0","0","2",
"B0564","Cadiz Fire Department","1880 Main ST",,"Cadiz","KY","42211",,,"PO Box 1465","Cadiz","KY","42211","270-522-8361","270-522-8361","TRIGG                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","0","23","0","0",
"51253","Cairo Volunteer Fire Department","13115  US Highway 41A",,"Henderson","KY","42420-9645","13115  US Highway 41A",,"","Henderson","KY","42420-9645","270-533-6013","270-533-6013","HENDERSON                ","Volunteer","Private or industrial fire  brigade",,"1","0","16","0","0","14","false"
"B0785","Caledonia Volunteer Fire Department, Inc.","7685 Caledonia RD",,"Gracey","KY","42232-9721","7685 Caledonia RD",,"","Gracey","KY","42232-9721","270-235-5919",,"TRIGG                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","15","0","0","0",
"18076","Calloway County Fire-Rescue, Inc.","101 E Sycamore ST",,"Murray","KY","42071",,,"PO Box 612","Murray","KY","42071-0010","270-753-4112","270-753-4117","CALLOWAY                 ","Volunteer","Local (includes career, combination, and volunteer)","https://www.callowayfire.org/","11","0","95","0","0","0","true"
"79399","Calvert City Fire Department","1315 5TH AVE","PO Box 36","Calvert City","KY","42029",,,"PO Box 36","Calvert City","KY","42029-0036","270-395-4809","270-395-8479","MARSHALL                 ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","18","0","0","0","true"
"40180","Camp Dick Fire & Rescue District #2","1538 Ballard RD",,"Lancaster","KY","40444","1538 Ballard RD",,"","Lancaster","KY","40444","854-548-3471",,"GARRARD                  ","Volunteer","Local (includes career, combination, and volunteer)",,"3","0","18","0","0","0",
"68890","Camp Dix Volunteer Fire Department","RT 1 Box 90AA",,"Vanceburg","KY","41179","RT 1 Box 90AA",,"","Vanceburg","KY","41179","606-796-2321","606-796-6658","LEWIS                    ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","19","19","0","0","4",
"19081","Camp Springs Fire Department","223A 4 Mile  RD","","Melbourne","KY","41059","223A 4 Mile  RD","","","Melbourne","KY","41059","859-635-9255","859-635-0260","CAMPBELL                 ","Volunteer","Local (includes career, combination, and volunteer)","","1","0","32","0","0","4",
"56280","Camp Taylor Fire District","4649 Poplar Level RD",,"Louisville","KY","40213-2384","4649 Poplar Level RD",,"","Louisville","KY","40213-2384","502-451-7757","502-966-0335","JEFFERSON                ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","10","0","20","0","0","false"
"52256","Campbellsburg Fire and Rescue","PO Box 89",,"Campbellsburg","KY","40011",,,"PO Box 89","Campbellsburg","KY","40011","502-532-7331","502-532-7991","HENRY                    ","Volunteer","Local (includes career, combination, and volunteer)","https://www.campbellsburgfire.com/","3","0","25","0","0","0",
"A8557","Campbellsville Fire Rescue","100 W Broadway ST",,"Campbellsville","KY","42718-2212","100 W Broadway ST",,"","Campbellsville","KY","42718-2212","270-465-4131","270-465-6811","TAYLOR                   ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","10","40","0","0","10","true"
"43194","Caneyville Volunteer Fire Department","210 E Maple ST","PO Box 69","Caneyville","KY","42721-0069",,,"PO Box 69","Caneyville","KY","42721-0069","270-879-3333",,"GRAYSON                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","15","0","0","0",
"10041","Cannonsburg Fire Department","2000 Cannonsburg RD",,"Ashland","KY","41102-8986","2000 Cannonsburg RD",,"","Ashland","KY","41102-8986","606-928-6495","606-928-0819","BOYD                     ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","2","0","30","0","0","false"
"91474","Carlisle Volunteer Fire Department","102 S Elm ST",,"Carlisle","KY","40311-1105","107 E Chestnut ST",,"","Carlisle","KY","40311-1105","859-289-3700",,"NICHOLAS                 ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","0","22","0","0","true"
"60768","Carr Fork Volunteer Fire Department, Inc.","25 Kentucky Highway 582","PO Box 97","Littcarr","KY","41834",,,"PO Box 97","Littcarr","KY","41834-0097","606-642-3100","606-439-6403","KNOTT                    ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","15","0","0","2",
"21099","Carrollton Fire Department","750 Clay ST",,"Carrollton","KY","41008-1335","750 Clay ST",,"","Carrollton","KY","41008-1335","502-732-7041","502-732-9429","CARROLL                  ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","1","0","25","0","0","false"
"22873","Carter City Volunteer Fire Department","98 Firehouse LN",,"Carter","KY","41128",,,"PO Box 44","Carter","KY","41128-0044","606-474-0541","606-474-0541","CARTER                   ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","18","0","0","0","false"
"10042","Catlettsburg Fire Department","26th & Broadway",,"Catlettsburg","KY","41129",,,"PO Box 476","Catlettsburg","KY","41129-0476","606-739-4932","606-739-4932","BOYD                     ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","4","0","25","0","0","false"
"05014","Cave City Volunteer Fire Department","First and Duke ST",,"Cave City","KY","42127","First and Duke ST",,"","Cave City","KY","42127","830-773-2040","270-773-3417","BARREN                   ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","26","1","0","1",
"38704","Cayce Volunteer Fire Department","7 ST RT 239",,"Fulton","KY","42041","7 ST RT 239",,"","Fulton","KY","42041","270-838-6881",,"FULTON                   ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","23","0","0","1",
"02897","Cedar Springs Volunteer Fire Department #1","51 Cedar Springs RD",,"Scottsville","KY","42164-6583","51 Cedar Springs RD",,"","Scottsville","KY","42164-6583","270-622-3515","270-622-3515","ALLEN                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","18","0","4","0","false"
"02957","Cedar Springs Volunteer Fire Department #2","7815 Brownsford RD",,"Scottsville","KY","42164","7815 Brownsford RD",,"","Scottsville","KY","42164","270-622-2738","270-622-2738","ALLEN                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","14","0","0","0",
